NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;DISTRICT;PASSENGER_CARS;POPULATION
AT1;AT13;AT130;9;0;2005;2020;Wien;655.806,00;1.652.449,00
AT1;AT13;AT130;9;0;2020;2020;Wien;718.819,00;1.920.949,00
AT1;AT13;AT130;90101;0;2005;2020;Wien Innere Stadt;15.953,00;17.285,00
AT1;AT13;AT130;90101;0;2020;2020;Wien Innere Stadt;16.091,00;15.867,00
AT1;AT13;AT130;90201;0;2005;2020;Wien Leopoldstadt;31.890,00;92.170,00
AT1;AT13;AT130;90201;0;2020;2020;Wien Leopoldstadt;33.327,00;105.237,00
AT1;AT13;AT130;90301;0;2005;2020;Wien Landstraße;36.107,00;84.208,00
AT1;AT13;AT130;90301;0;2020;2020;Wien Landstraße;37.082,00;93.248,00
AT1;AT13;AT130;90401;0;2005;2020;Wien Wieden;13.109,00;30.126,00
AT1;AT13;AT130;90401;0;2020;2020;Wien Wieden;12.485,00;33.075,00
AT1;AT13;AT130;90501;0;2005;2020;Wien Margareten;17.796,00;52.534,00
AT1;AT13;AT130;90501;0;2020;2020;Wien Margareten;15.285,00;54.373,00
AT1;AT13;AT130;90601;0;2005;2020;Wien Mariahilf;11.682,00;29.369,00
AT1;AT13;AT130;90601;0;2020;2020;Wien Mariahilf;10.113,00;31.336,00
AT1;AT13;AT130;90701;0;2005;2020;Wien Neubau;11.386,00;30.416,00
AT1;AT13;AT130;90701;0;2020;2020;Wien Neubau;9.896,00;31.683,00
AT1;AT13;AT130;90801;0;2005;2020;Wien Josefstadt;8.822,00;23.597,00
AT1;AT13;AT130;90801;0;2020;2020;Wien Josefstadt;7.559,00;24.365,00
AT1;AT13;AT130;90901;0;2005;2020;Wien Alsergrund;16.310,00;39.264,00
AT1;AT13;AT130;90901;0;2020;2020;Wien Alsergrund;13.679,00;41.812,00
AT1;AT13;AT130;91001;0;2005;2020;Wien Favoriten;60.160,00;167.238,00
AT1;AT13;AT130;91001;0;2020;2020;Wien Favoriten;70.504,00;210.573,00
AT1;AT13;AT130;91101;0;2005;2020;Wien Simmering;31.608,00;82.722,00
AT1;AT13;AT130;91101;0;2020;2020;Wien Simmering;38.222,00;105.022,00
AT1;AT13;AT130;91201;0;2005;2020;Wien Meidling;29.765,00;84.240,00
AT1;AT13;AT130;91201;0;2020;2020;Wien Meidling;34.594,00;96.998,00
AT1;AT13;AT130;91301;0;2005;2020;Wien Hietzing;23.325,00;51.356,00
AT1;AT13;AT130;91301;0;2020;2020;Wien Hietzing;23.642,00;53.903,00
AT1;AT13;AT130;91401;0;2005;2020;Wien Penzing;32.429,00;82.829,00
AT1;AT13;AT130;91401;0;2020;2020;Wien Penzing;35.308,00;93.366,00
AT1;AT13;AT130;91501;0;2005;2020;Wien Rudolfsheim-Fünfhaus;22.292,00;70.235,00
AT1;AT13;AT130;91501;0;2020;2020;Wien Rudolfsheim-Fünfhaus;21.294,00;76.137,00
AT1;AT13;AT130;91601;0;2005;2020;Wien Ottakring;31.081,00;93.817,00
AT1;AT13;AT130;91601;0;2020;2020;Wien Ottakring;32.255,00;102.480,00
AT1;AT13;AT130;91701;0;2005;2020;Wien Hernals;18.253,00;52.480,00
AT1;AT13;AT130;91701;0;2020;2020;Wien Hernals;18.265,00;56.488,00
AT1;AT13;AT130;91801;0;2005;2020;Wien Währing;18.073,00;47.291,00
AT1;AT13;AT130;91801;0;2020;2020;Wien Währing;18.326,00;51.327,00
AT1;AT13;AT130;91901;0;2005;2020;Wien Döbling;28.906,00;67.389,00
AT1;AT13;AT130;91901;0;2020;2020;Wien Döbling;31.203,00;73.861,00
AT1;AT13;AT130;92001;0;2005;2020;Wien Brigittenau;26.004,00;81.288,00
AT1;AT13;AT130;92001;0;2020;2020;Wien Brigittenau;24.429,00;85.264,00
AT1;AT13;AT130;92101;0;2005;2020;Wien Floridsdorf;54.606,00;136.625,00
AT1;AT13;AT130;92101;0;2020;2020;Wien Floridsdorf;67.030,00;173.916,00
AT1;AT13;AT130;92201;0;2005;2020;Wien Donaustadt;63.177,00;146.892,00
AT1;AT13;AT130;92201;0;2020;2020;Wien Donaustadt;84.556,00;198.806,00
AT1;AT13;AT130;92301;0;2005;2020;Wien Liesing;45.658,00;89.078,00
AT1;AT13;AT130;92301;0;2020;2020;Wien Liesing;55.263,00;111.812,00
